propertyNumber,websiteLink,agencyName,agencyDescription,agencyCall,agencyEmail,agencyAddress,agencyCity,propertyPrice,propertyAddress,mapLink,houseType,bedroom,bathroom,kitchen,tenure,lettingDetails,keyFeatures,propertyDescriptions,councilTax,houseSize,floorplanLayout,parkingSpace,petsAllowed,balconySpace
0,https://www.rightmove.co.uk/properties/112099649#/?channel=RES_BUY,"JBrown, London
281 Portland Road, London, SE25 4QQ","JBrown specialises in Sales and Lettings throughout London. we are committed to bringing you a service that is second to none; giving you complete peace of mind and confidence that we will handle your portfolio with expert industry knowledge.
We defy the common opinions that many people have of estate agents by showing that we are transparent, honest, and highly professional, ensuring quality over quantity. Our team is made up of extraordinary people, who do extraordinary things every d",tel:02039083905,,"281 Portland Road, London, SE25 4QQ",,"£400,000","Royal Court, Howard Road, Stanmore, London, HA7",https://www.rightmove.co.uk/properties/112099649#/map?channel=RES_BUY,Apartment,×1,×1,,Leasehold,,Shops and amenities nearby Fitted Kitchen Close to public transport Concierge Residents Gym Floor to Ceiling Windows Lower Ground Floor Apartment Highly Desired Location Private Terrace Underground Parking,"Spacious one-bedroom lower ground floor apartment in the Berkeley development, Stanmore Place, HA7.

An extremely well-presented lower ground floor apartment which is more than generous in size, with access to a great sized private terrace.

The property offers open plan kitchen and living area with all the desired integrated branded appliances. The living area has wooden laminate flooring and floor to ceiling windows allowing a great source of natural sunlight with an access to your own private terrace.

The Bedroom offers spacious built in sliding wardrobe, carpet flooring and floor to ceiling windows, and also access to your private terrace.

The bathroom is of a great size with shower over bath, and tile walls and flooring.

This apartment further benefits from an allocated underground car parking space.

Stanmore Place, by Berkeley Group, is a highly regarded block at the heart of this stunning development. The development has a 24-hour concierge service, and a residents-only fully equipped gym.

Further residents benefits include a bicycle storage room and local amenities on your doorstep. Local transport links include the underground station of Canons Park, serving the Jubilee Line, which by google maps, is a 5 minute walk from your development. This line gives access to the network of the London underground.",Ask agent,,,,,
1,https://www.rightmove.co.uk/properties/126543152#/?channel=RES_LET,"JBrown, London
281 Portland Road, London, SE25 4QQ","JBrown specialises in Sales and Lettings throughout London. we are committed to bringing you a service that is second to none; giving you complete peace of mind and confidence that we will handle your portfolio with expert industry knowledge.
We defy the common opinions that many people have of estate agents by showing that we are transparent, honest, and highly professional, ensuring quality over quantity. Our team is made up of extraordinary people, who do extraordinary things every d",tel:02039097891,,"281 Portland Road, London, SE25 4QQ",,"£3,200 pcm
£738 pw","Willowbrook House, Coster Avenue, London, Greater London, N4",https://www.rightmove.co.uk/properties/126543152#/map?channel=RES_LET,Apartment,×2,×2,,,<not serializable> <not serializable> <not serializable> <not serializable> <not serializable>,Shops and amenities nearby River view Swimming Pool Gym Fully Furnished Concierge En suite Two-Double Bedrooms Luxury Waterfront Living Brand New Development,"A magnificent Two-Bedroom apartment plus a separate study room with large balcony in the highly desired area of Woodberry Down.

Brand New and offering comfortable living and convenience.

The Apartment is presented in outstanding condition, with a high-specification finish and will be furnished to a high standard.

Stunning brand-new Two-Bedroom apartment in the highly desired area of Woodberry Down, N4.

This high-specification home is based on the 12th floor with spectacular view of the lake and latest released Willowbrook House development.

The apartment offers a great sized, open-plan reception kitchen area, which opens directly on your large balcony,

The spacious double bedrooms with bespoke fitted wardrobe to the primary room, and dual-aspect floor to ceiling windows looking out to the terrace.

The primary bedroom has en-suite, the second bathroom can be used as en-suite or as a communal bathroom depending on which door you'd like to lock.

As a resident of Willowbrook House, you have exclusive access to:

A Private Residents Swimming Pool

A Private Residents' Gym

Secure Cycle Storage

And a nearby Concierge Service.

Moments away from Manor House Tube Station, giving you fast links to King's Cross, Covent Garden, and Leicester Square on the Piccadilly Line. A little further and you have Haringey Green overground.

Woodberry Down is close to the open spaces of Finsbury Park, with over a hundred acres of natural beauty to explore. Not to mention Woodberry Wetlands being on your doorstep, offering lovely waterside walking routes.",Ask agent,,,,,
2,https://www.rightmove.co.uk/properties/125597195#/?channel=RES_BUY,"JBrown, London
281 Portland Road, London, SE25 4QQ","JBrown specialises in Sales and Lettings throughout London. we are committed to bringing you a service that is second to none; giving you complete peace of mind and confidence that we will handle your portfolio with expert industry knowledge.
We defy the common opinions that many people have of estate agents by showing that we are transparent, honest, and highly professional, ensuring quality over quantity. Our team is made up of extraordinary people, who do extraordinary things every d",tel:02039083905,,"281 Portland Road, London, SE25 4QQ",,"£625,000","Lancaster Road, London, SE25",https://www.rightmove.co.uk/properties/125597195#/map?channel=RES_BUY,End of Terrace,×3,×1,,Freehold,,Shops and amenities nearby Double Glazing End of Terrace Large Mature Garden Potential for further development STPP Chain Free Freehold Private Garage,"*No Onward Chain*

An imposing three-bedroom end of terrace house with a garage provides enormous potential for further development.

The current residents have owned this loved family home for the past 30 years and it is time to downsize. This wonderful house provides 118m2 of living space with a large mature garden spanning approx. 266m2.

The property offers a spacious lounge with a large bay window, high ceilings offering bright and spacious living, a large dining room with a conservatory leading to a mature garden and three great-sized bedrooms, and a large family bathroom.

Development opportunity

Many of the surrounding properties on the street have approved planning for garage conversions, Single story extensions, and loft conversations providing the buyer with a fantastic opportunity to extend.

Location

Ideally located within a short stroll of Norwood Junction Station providing easy access into Central London Bridge/Victoria Stations. The 410 provides a quick service to Crystal Palace Triangle with a variety of local retailers, restaurants, and bars. A stone’s throw from the property is South Norwood Lake and the Waterside Centre with its lovely open spaces and a lakeside café.",Band: E,,,,,
3,https://www.rightmove.co.uk/properties/112099649#/?channel=RES_BUY,"JBrown, London
281 Portland Road, London, SE25 4QQ","JBrown specialises in Sales and Lettings throughout London. we are committed to bringing you a service that is second to none; giving you complete peace of mind and confidence that we will handle your portfolio with expert industry knowledge.
We defy the common opinions that many people have of estate agents by showing that we are transparent, honest, and highly professional, ensuring quality over quantity. Our team is made up of extraordinary people, who do extraordinary things every d",tel:02039083905,,"281 Portland Road, London, SE25 4QQ",,"£400,000","Royal Court, Howard Road, Stanmore, London, HA7",https://www.rightmove.co.uk/properties/112099649#/map?channel=RES_BUY,Apartment,×1,×1,,Leasehold,,Shops and amenities nearby Fitted Kitchen Close to public transport Concierge Residents Gym Floor to Ceiling Windows Lower Ground Floor Apartment Highly Desired Location Private Terrace Underground Parking,"Spacious one-bedroom lower ground floor apartment in the Berkeley development, Stanmore Place, HA7.

An extremely well-presented lower ground floor apartment which is more than generous in size, with access to a great sized private terrace.

The property offers open plan kitchen and living area with all the desired integrated branded appliances. The living area has wooden laminate flooring and floor to ceiling windows allowing a great source of natural sunlight with an access to your own private terrace.

The Bedroom offers spacious built in sliding wardrobe, carpet flooring and floor to ceiling windows, and also access to your private terrace.

The bathroom is of a great size with shower over bath, and tile walls and flooring.

This apartment further benefits from an allocated underground car parking space.

Stanmore Place, by Berkeley Group, is a highly regarded block at the heart of this stunning development. The development has a 24-hour concierge service, and a residents-only fully equipped gym.

Further residents benefits include a bicycle storage room and local amenities on your doorstep. Local transport links include the underground station of Canons Park, serving the Jubilee Line, which by google maps, is a 5 minute walk from your development. This line gives access to the network of the London underground.",Ask agent,,,,,
4,https://www.rightmove.co.uk/properties/125239505#/?channel=COM_LET,"JBrown, London
281 Portland Road, London, SE25 4QQ","JBrown specialises in Sales and Lettings throughout London. we are committed to bringing you a service that is second to none; giving you complete peace of mind and confidence that we will handle your portfolio with expert industry knowledge.
We defy the common opinions that many people have of estate agents by showing that we are transparent, honest, and highly professional, ensuring quality over quantity. Our team is made up of extraordinary people, who do extraordinary things every d",tel:02039097891,,"281 Portland Road, London, SE25 4QQ",,"£6,000 pcm
£72,000 pa","Reef Street, Choats Road, Dagenham, Essex, RM9",https://www.rightmove.co.uk/properties/125239505#/map?channel=COM_LET,Warehouse,,,,,<not serializable> <not serializable>,Parking,New Warehouse to lease in the popular Dagenham Dock area. The warehouse will be 25m (Width) x 18 (Depth) x 7 m (Height). There will also be mezzanine office floor 16m x 3.5m. The out door Private land/loading/parking space is approx 409sqm,,,,,,
5,https://www.rightmove.co.uk/properties/126372758#/?channel=RES_LET,"JBrown, London
281 Portland Road, London, SE25 4QQ","JBrown specialises in Sales and Lettings throughout London. we are committed to bringing you a service that is second to none; giving you complete peace of mind and confidence that we will handle your portfolio with expert industry knowledge.
We defy the common opinions that many people have of estate agents by showing that we are transparent, honest, and highly professional, ensuring quality over quantity. Our team is made up of extraordinary people, who do extraordinary things every d",,,"281 Portland Road, London, SE25 4QQ",,"£2,550 pcm
£588 pw","The Stratford Hotel, 20 International Way, London, E20",https://www.rightmove.co.uk/properties/126372758#/map?channel=RES_LET,Apartment,×1,×1,,,<not serializable> <not serializable> <not serializable> <not serializable> <not serializable>,Swimming Pool Fully Furnished Close to public transport Concierge Residents Gym Floor to Ceiling Windows Sought after local Study Area Private Roof Terrace London Skyline Views,"Highly desirable 1 and half bedroom apartment located in Manhattan Loft Gardens, East Village. The high spec apartment features floor to ceiling windows supplying ample amounts of natural light.

The apartment provides 24hrs concierge service, access to gym, pool, 3 roof gardens and their on-site restaurants.

Only moments walk from Stratford International Rail Station and Westfield Stratford, which has a wide variety of stores, bars, and restaurants, is only a short distance away from the property.",Ask agent,,,,,
6,https://www.rightmove.co.uk/properties/127078226#/?channel=RES_LET,"JBrown, London
281 Portland Road, London, SE25 4QQ","JBrown specialises in Sales and Lettings throughout London. we are committed to bringing you a service that is second to none; giving you complete peace of mind and confidence that we will handle your portfolio with expert industry knowledge.
We defy the common opinions that many people have of estate agents by showing that we are transparent, honest, and highly professional, ensuring quality over quantity. Our team is made up of extraordinary people, who do extraordinary things every d",tel:02039097891,,"281 Portland Road, London, SE25 4QQ",,"£2,500 pcm
£577 pw","202 Bishopsgate, London, EC2M",https://www.rightmove.co.uk/properties/127078226#/map?channel=RES_LET,Apartment,×1,×1,,,<not serializable> <not serializable> <not serializable> <not serializable> <not serializable>,Shops and amenities nearby Fully Furnished Close to public transport En suite,"A 1 bedroom apartment in a wonderful location situated in the heart of London and stones throw away from Liverpool Station providing access to District line, Circle Line, Central Line, London Overground and National Rail. The Apartment is presented in good condition, fully furnished with easy access to shops, restaurant's, bars and amenities nearby.

Enquire today to arrange your viewing/virtual viewing.",Ask agent,,,,,
7,https://www.rightmove.co.uk/properties/126737444#/?channel=RES_LET,"JBrown, London
281 Portland Road, London, SE25 4QQ","JBrown specialises in Sales and Lettings throughout London. we are committed to bringing you a service that is second to none; giving you complete peace of mind and confidence that we will handle your portfolio with expert industry knowledge.
We defy the common opinions that many people have of estate agents by showing that we are transparent, honest, and highly professional, ensuring quality over quantity. Our team is made up of extraordinary people, who do extraordinary things every d",,,"281 Portland Road, London, SE25 4QQ",,"£3,200 pcm
£738 pw","Royal Mint Street, E1",https://www.rightmove.co.uk/properties/126737444#/map?channel=RES_LET,Terraced,×1,×1,,,<not serializable> <not serializable> <not serializable> <not serializable> <not serializable>,Shops and amenities nearby Air Conditioning Swimming Pool Fully Furnished Close to public transport Concierge Fitted Kitchen Residents Gym Underfloor Heating Throughout Private Balcony,"Large OneBedroom apartment based in Rosemary place withing the higly desired Royal mint gardens development.

Ideally placed giving only a short walk between both Tower Hill Station and Aldgate Station. The City of London, directly next to Tower bridge, the Tower of London, and within walking distance of restaurants and local amenities.

The spacious apartment offers a great space throughout, both internally and externally, with a private balcony with a beautiful view.

Finished to a high standard throughout, the one bedroom home offers a large double bedroom, a beautiful modern bathroom and a bright open plan living/diner kitchen.

Offering modern interiors; with hardwood flooring with under floor heating and high quality builtin appliances, fixtures and fittings, integrated wardrobes and designer bathroom.

Located within Royal Mint Garden the development provides residents with 24 hour concierge as well as access to their top of the range facilities comprising of a fully equipped gym, heated pool & Jacuzzi; residents lounge with reading area cinema, games room, l courtyards, and roof terraces.",Ask agent,,,,,
8,https://www.rightmove.co.uk/properties/127256987#/?channel=RES_LET,"Dexters, City
5A Sandys Row, London, E1 7HW","Altogether better across London.
If you think all London Estate Agents are the same, you haven't worked with Dexters. We're different. Everything we do will give you an altogether better experience of selling or letting your property.
As you'll discover, it's our people who make the difference. You'll deal directly with a professional, highly-trained client partner and have the peace of mind of working with an agency accredited by the Royal Institution",tel:02073929111,,"5A Sandys Row, London, E1 7HW",,"£2,600 pcm
£600 pw","Hooper Street, Aldgate",https://www.rightmove.co.uk/properties/127256987#/map?channel=RES_LET,House,×2,×2,,,<not serializable> <not serializable> <not serializable> <not serializable> <not serializable>,Split Level Large Private Terrace Refurbished Concierge Separate Kitchen Two Double Bedrooms,"An amazing split level apartment in the heart of Aldgate. This property has a large private terrace leading from the living room, floor to ceiling windows, a separate kitchen with dining area and it has been recently refurbished.

Back Church Lane is perfectly located for access to Tower Hill and Liverpool Street Station, just moment away from Spitalfields bars and restaurant's.

Brochures",Ask agent,,,,,
9,https://www.rightmove.co.uk/properties/126984401#/?channel=RES_LET,"Foxtons, Shoreditch
86-90 Curtain Road, London, EC2A 3AA","Foxtons is proud to be London’s leading estate agency, with sales, lettings, property management and support specialists working across more than 50 interconnected offices.
Our business is built to serve customers better, with the scale required to reach more people, fuelled by the commitment and expertise of our teams, supported by best-in-class technology. These strengths allow us to consistently deliver the great results our customers expect.
We know that outstanding service pr",tel:02039096725,,"86-90 Curtain Road, London, EC2A 3AA",,"£5,000 pcm
£1,154 pw","Jamaica Street, Whitechapel, London, E1",https://www.rightmove.co.uk/properties/126984401#/map?channel=RES_LET,House,×2,×2,,,<not serializable> <not serializable> <not serializable> <not serializable> <not serializable>,"Spacious reception room Adjoining conservatory Integrated kitchen 2 bedrooms, both with en-suite Stylish shower rooms and wc Private garden Secure gated off-street parking Moments from amenities","SHORT LET. A stunning 2 bedroom split level maisonette boasting spacious accommodation throughout and a private garden with direct access to the off-street parking.

The property is situated moments from the green open spaces of Stepney Green Park while Whitechapel Station is also within close proximity for links around the city.
Brochures
Property details",Ask agent,,,,,
